date,open,high,low,close,volume
2021-10-12,408.495085,408.898257,405.785335,406.572937,71181200
2021-10-13,407.594929,408.851343,404.622674,408.035614,72974000
2021-10-14,411.692388,415.049102,411.223576,414.899078,70236800
2021-10-15,417.008763,418.424586,416.389927,418.058899,66260200
2021-10-18,416.277325,419.634009,415.620976,419.296478,62213200
2021-10-19,420.918595,422.596923,420.309116,422.531311,46996800
2021-10-20,422.990729,424.490934,422.878218,424.190887,49571600
2021-10-21,423.590879,425.522384,423.159579,425.297363,41305400
2021-10-22,424.866014,426.309964,422.915738,424.856628,58845100
2021-10-25,425.944328,427.463276,424.172231,427.135101,45214500
2021-10-26,428.682145,429.891660,427.144426,427.519470,56075100
2021-10-27,427.978967,428.644673,425.550493,425.625519,72438000
2021-10-28,427.050647,429.807267,427.041290,429.732269,51437900
2021-10-29,427.435071,430.894909,427.144410,430.604248,70162400
2021-11-01,431.588764,431.963837,429.619775,431.345001,48433600
2021-11-02,431.513756,433.398391,431.382474,433.088959,48908400
2021-11-03,432.526433,436.136296,432.085749,435.733124,52509800
2021-11-04,436.333163,437.870882,435.986246,437.786499,52847100
2021-11-05,440.008700,441.293242,437.795918,439.305481,66390600
2021-11-08,440.402501,440.899441,438.996063,439.680511,50405200
2021-11-09,440.046137,440.280543,436.820705,438.227142,51149100
2021-11-10,436.539458,438.227201,433.220286,434.701721,69429700
2021-11-11,436.192467,436.267493,434.823543,434.842285,34848500
2021-11-12,436.108166,438.677249,435.161155,438.124054,53466700
2021-11-15,439.408625,439.568006,437.148945,438.274078,46980500
